SKU,Price,Supplier,Discontinued,Stock Status,product_specifications
BRD 293,$476.96,Best Buy,No,Long Lead Time,
BRD 32101,$218.79,Best Buy,No,Long Lead Time,
BRD 32301,$85.42,Best Buy,No,In Stock,
BRD 33301,$85.94,Best Buy,No,Long Lead Time,
BRD 33305,$100.43,Best Buy,No,Long Lead Time,
BRD 33416,$279.81,Best Buy,No,Long Lead Time,
BRD 33418,$240.99,Best Buy,No,Long Lead Time,
BRD 33420,$377.59,Best Buy,No,Long Lead Time,
BRD 33422,$333.62,Best Buy,No,Long Lead Time,
BRD 33424,$217.32,Best Buy,No,Long Lead Time,
BRD 33426,$239.53,Best Buy,No,Long Lead Time,
BRD 33428,$239.53,Best Buy,No,Long Lead Time,
BRD 33614,$192.57,Best Buy,No,In Stock,
BRD 33616,$179.70,Best Buy,No,Out of Stock,
BRD 33618,$181.68,Best Buy,No,Out of Stock,
BRD 33620,$169.89,Best Buy,No,Out of Stock,
BRD 33622,$184.06,Best Buy,No,Out of Stock,
BRD 33624,$230.29,Best Buy,No,Long Lead Time,
BRD 34610,"$1,686.93",Best Buy,No,Long Lead Time,
BRD 34620,"$1,785.53",Best Buy,No,Long Lead Time,
BRD 35301,$77.30,Best Buy,No,Long Lead Time,
BRD 35302,$76.82,Best Buy,No,In Stock,
BRD 35303,$76.82,Best Buy,No,Long Lead Time,
BRD 35304,$77.30,Best Buy,No,Long Lead Time,
BRD 35305,$77.30,Best Buy,No,Long Lead Time,
BRD 357,$146.30,Best Buy,No,Long Lead Time,
BRD 35800,$167.62,Best Buy,No,Long Lead Time,
BRD 36104,$272.12,Best Buy,No,Long Lead Time,
BRD 36105,$198.11,Best Buy,No,Long Lead Time,
BRD 365730,$73.79,Best Buy,No,Long Lead Time,
BRD 37301,$73.53,Best Buy,No,Long Lead Time,
BRD 37302,$75.54,Best Buy,No,Long Lead Time,
BRD 37303,$74.44,Best Buy,No,Long Lead Time,
BRD 37304,$75.54,Best Buy,No,Long Lead Time,
BRD 37305,$74.44,Best Buy,No,In Stock,
BRD 37506,$161.53,Best Buy,No,Long Lead Time,
BRD 37608,$245.35,Best Buy,No,Long Lead Time,
BRD 37610,$378.11,Best Buy,No,Long Lead Time,
BRD 38008,$352.07,Best Buy,No,Long Lead Time,
BRD 38012,$323.02,Best Buy,No,Long Lead Time,
BRD 39301,$72.64,Best Buy,No,Long Lead Time,
BRD 39302,$73.27,Best Buy,No,Long Lead Time,
BRD 39303,$73.27,Best Buy,No,In Stock,
BRD 39304,$73.74,Best Buy,No,Long Lead Time,
BRD 39305,$73.74,Best Buy,No,In Stock,
BRD 42100,$991.33,Best Buy,No,Long Lead Time,
BRD 42120,$393.25,Best Buy,No,Long Lead Time,
BRD 42510,$968.66,Best Buy,No,Long Lead Time,
BRD 4412,$3.91,Best Buy,Yes,In Stock,
